2010-03-19,-7,755,З 4м/с,-11,755,З 4м/с
2010-03-20,-2,746,ЮЗ 2м/с,-4,749,ЮЗ 2м/с
2010-03-21,+3,746,ЮЗ 1м/с,+1,745,ЮЗ 1м/с
2010-03-22,+3,741,З 3м/с,+2,739,З 3м/с
2010-03-23,+2,744,СЗ 4м/с,-3,749,СЗ 4м/с
2010-03-24,+1,749,ЮЗ 4м/с,-1,747,ЮЗ 4м/с
2010-03-25,0,749,С 2м/с,-4,752,С 2м/с
2010-03-26,0,758,СЗ 3м/с,-4,759,СЗ 3м/с
2010-03-27,+1,758,З 5м/с,-2,758,З 5м/с
2010-03-28,+4,758,Ю 2м/с,-1,758,Ю 2м/с
2010-03-29,+5,758,В 2м/с,0,758,В 2м/с
2010-03-30,+5,757,В 2м/с,+2,757,В 2м/с
2010-03-31,+8,757,ЮВ 2м/с,+4,757,ЮВ 2м/с
2010-04-01,+10,757,В 3м/с,+6,758,В 3м/с
2010-04-02,+9,759,ЮВ 2м/с,+5,759,ЮВ 2м/с
2010-04-03,+8,758,С 2м/с,+6,757,С 2м/с
2010-04-04,+12,757,СВ 2м/с,+7,756,СВ 2м/с
2010-04-05,+11,756,СВ 2м/с,+8,755,СВ 2м/с
2010-04-06,+12,755,СВ 3м/с,,,
2010-04-07,+4,759,В 3м/с,+1,760,В 3м/с
2010-04-08,+4,761,В 3м/с,0,761,В 3м/с
2010-04-09,+6,758,В 2м/с,+3,757,В 2м/с
2010-04-10,+9,755,В 3м/с,+5,755,В 3м/с
2010-04-11,+9,754,С 3м/с,+5,753,С 3м/с
2010-04-12,+12,753,СВ 3м/с,+7,753,СВ 3м/с
2010-04-13,+9,752,СЗ 2м/с,+4,752,СЗ 2м/с
2010-04-14,+8,749,СЗ 3м/с,+2,751,СЗ 3м/с
2010-04-15,+11,752,ЮЗ 2м/с,+8,751,ЮЗ 2м/с
2010-04-16,+13,751,З 2м/с,+9,752,З 2м/с
2010-04-17,+17,752,Ю 3м/с,+10,752,Ю 3м/с
2010-04-18,+13,748,ЮЗ 1м/с,+11,750,ЮЗ 1м/с
2010-04-19,+17,749,СЗ 3м/с,+12,750,СЗ 3м/с
2010-04-20,+20,750,ЮЗ 3м/с,+16,751,ЮЗ 3м/с
2010-04-21,+21,751,ЮВ 2м/с,+17,750,ЮВ 2м/с
2010-04-22,+23,747,Ю 4м/с,+19,746,Ю 4м/с
2010-04-23,+18,748,З 4м/с,+13,752,З 4м/с
2010-04-24,+14,758,ЮЗ 3м/с,+10,758,ЮЗ 3м/с
2010-04-25,+17,752,ЮЗ 3м/с,+12,749,ЮЗ 3м/с
2010-04-26,+11,749,С 3м/с,+4,749,С 3м/с
2010-04-27,+5,750,СВ 2м/с,+1,752,СВ 2м/с
2010-04-28,+11,749,СЗ 5м/с,+8,749,СЗ 5м/с
2010-04-29,+15,747,З 4м/с,+10,748,З 4м/с
2010-04-30,+17,751,ЮЗ 2м/с,+14,750,ЮЗ 2м/с
2010-05-01,+17,752,Ю 3м/с,+15,752,Ю 3м/с
2010-05-02,+20,753,З 3м/с,+19,752,З 3м/с
2010-05-03,+21,754,З 2м/с,+21,754,З 2м/с
2010-05-04,+26,755,ЮЗ 3м/с,+18,755,ЮЗ 3м/с
2010-05-05,+28,754,З 1м/с,+19,752,З 1м/с
2010-05-06,+29,752,СЗ 2м/с,+21,752,СЗ 2м/с
2010-05-07,+30,751,З 2м/с,+24,750,З 2м/с
2010-05-08,+27,753,СВ 3м/с,+20,753,СВ 3м/с
2010-05-09,+26,751,В 3м/с,+22,751,В 3м/с
2010-05-10,+24,752,В 4м/с,+19,752,В 4м/с
2010-05-11,+24,755,В 3м/с,+19,756,В 3м/с
2010-05-12,+25,755,ЮВ 2м/с,+21,753,ЮВ 2м/с
2010-05-13,+22,754,ЮВ 2м/с,+18,753,ЮВ 2м/с
2010-05-14,+25,751,ЮВ 6м/с,+16,752,ЮВ 6м/с
2010-05-15,+20,752,В 3м/с,+19,752,В 3м/с
2010-05-16,+26,750,ЮВ 2м/с,+20,749,ЮВ 2м/с
2010-05-17,+26,747,СЗ 1м/с,+23,746,СЗ 1м/с
2010-05-18,+21,746,СВ 2м/с,+17,747,СВ 2м/с
2010-05-19,+22,746,С 2м/с,+16,746,С 2м/с
2010-05-20,+20,749,СВ 4м/с,+15,750,СВ 4м/с
2010-05-21,+18,754,ЮВ 2м/с,+11,753,ЮВ 2м/с
2010-05-22,+21,749,ЮЗ 3м/с,+17,748,ЮЗ 3м/с
2010-05-23,+24,746,З 2м/с,+16,746,З 2м/с
2010-05-24,+26,743,ЮВ 1м/с,+19,743,ЮВ 1м/с
2010-05-25,+24,741,ЮВ 2м/с,+20,740,ЮВ 2м/с
2010-05-26,+19,737,ЮВ 2м/с,+19,737,ЮВ 2м/с
2010-05-27,+15,738,ЮЗ 4м/с,+11,740,ЮЗ 4м/с
2010-05-28,+13,739,ЮЗ 3м/с,+13,741,ЮЗ 3м/с
2010-05-29,+13,747,СЗ 2м/с,+12,749,СЗ 2м/с
2010-05-30,+20,752,В 2м/с,+15,752,В 2м/с
2010-05-31,+23,754,З 2м/с,+20,753,З 2м/с
2010-06-01,+26,754,ЮЗ 2м/с,+22,753,ЮЗ 2м/с
2010-06-02,+28,754,СЗ 1м/с,+23,752,СЗ 1м/с
2010-06-03,+31,740,З 2м/с,+22,749,З 2м/с
2010-06-04,+33,748,ЮЗ 3м/с,+28,746,ЮЗ 3м/с
2010-06-05,+30,743,ЮЗ 2м/с,+26,742,ЮЗ 2м/с
2010-06-06,+20,749,С 2м/с,+14,749,С 2м/с
2010-06-07,+22,750,СЗ 2м/с,+16,749,СЗ 2м/с
2010-06-08,+25,748,ЮЗ 2м/с,+18,747,ЮЗ 2м/с
2010-06-09,+29,746,ЮЗ 3м/с,+23,744,ЮЗ 3м/с
2010-06-10,+19,748,СВ 2м/с,+16,748,СВ 2м/с
2010-06-11,+22,749,С 1м/с,+17,750,С 1м/с
2010-06-12,+27,749,З 4м/с,+26,747,З 4м/с
2010-06-13,+34,745,З 4м/с,+31,744,З 4м/с
2010-06-14,+24,744,СЗ 1м/с,+24,745,СЗ 1м/с
2010-06-15,+27,748,С 3м/с,+22,747,С 3м/с
2010-06-16,+29,745,С 1м/с,+23,743,С 1м/с
2010-06-17,+27,740,СЗ 3м/с,+20,740,СЗ 3м/с
2010-06-18,+22,743,СЗ 2м/с,+19,745,СЗ 2м/с
2010-06-19,+20,748,С 3м/с,+17,751,С 3м/с
2010-06-20,+25,754,С 2м/с,+21,755,С 2м/с
2010-06-21,+26,755,С 2м/с,+19,755,С 2м/с
2010-06-22,+28,753,С 2м/с,+24,752,С 2м/с
2010-06-23,+32,750,В 2м/с,+27,749,В 2м/с
2010-06-24,+33,749,З 2м/с,+23,748,З 2м/с
2010-06-25,+35,749,СЗ 1м/с,+25,748,СЗ 1м/с
2010-06-26,+35,749,З 2м/с,+29,749,З 2м/с
2010-06-27,+36,750,В 1м/с,+29,750,В 1м/с
2010-06-28,+36,747,В 2м/с,+28,749,В 2м/с
2010-06-29,+30,747,С 3м/с,+28,747,С 3м/с
2010-06-30,+25,748,В 1м/с,+21,748,В 1м/с
2010-07-01,+27,749,В 2м/с,+23,749,В 2м/с
2010-07-02,+27,750,ЮВ 2м/с,+21,749,ЮВ 2м/с
2010-07-03,+29,749,В 3м/с,+26,748,В 3м/с
2010-07-04,+30,746,СЗ 2м/с,+25,746,СЗ 2м/с
2010-07-05,+31,746,СВ 3м/с,+25,747,СВ 3м/с
2010-07-06,+30,747,СВ 2м/с,+26,747,СВ 2м/с
2010-07-07,+31,746,В 2м/с,+27,746,В 2м/с
2010-07-08,+32,749,В 2м/с,+25,749,В 2м/с
2010-07-09,+34,749,З 2м/с,+26,749,З 2м/с
2010-07-10,+35,749,З 3м/с,+28,749,З 3м/с
2010-07-11,+36,748,З 2м/с,+29,748,З 2м/с
2010-07-12,+33,746,СВ 3м/с,+29,746,СВ 3м/с
2010-07-13,+27,745,С 3м/с,+22,744,С 3м/с
2010-07-14,+26,745,СВ 4м/с,+22,744,СВ 4м/с
2010-07-15,+26,745,С 3м/с,+26,745,С 3м/с
2010-07-16,+31,746,СВ 5м/с,+28,746,СВ 5м/с
2010-07-17,+35,744,С 3м/с,+30,746,С 3м/с
2010-07-18,+35,745,З 2м/с,+22,746,З 2м/с
2010-07-19,+28,749,В 2м/с,+24,749,В 2м/с
2010-07-20,+29,752,ЮЗ 3м/с,+21,750,ЮЗ 3м/с
2010-07-21,+34,750,ЮЗ 3м/с,+24,749,ЮЗ 3м/с
2010-07-22,+35,750,СВ 1м/с,+30,750,СВ 1м/с
2010-07-23,+35,751,З 2м/с,+27,750,З 2м/с
2010-07-24,+37,749,СВ 1м/с,+32,749,СВ 1м/с
2010-07-25,+36,749,ЮВ 2м/с,+26,750,ЮВ 2м/с
2010-07-26,+38,752,С 2м/с,+31,752,С 2м/с
2010-07-27,+35,754,В 1м/с,+31,754,В 1м/с
2010-07-28,+36,752,СЗ 2м/с,+32,752,СЗ 2м/с
2010-07-29,+38,752,В 2м/с,+32,752,В 2м/с
2010-07-30,+38,751,Ю 1м/с,+32,752,Ю 1м/с
2010-07-31,+38,752,З 1м/с,+31,752,З 1м/с
2010-08-01,+39,752,ЮЗ 2м/с,+32,752,ЮЗ 2м/с
2010-08-02,+40,751,СЗ 2м/с,+29,750,СЗ 2м/с
2010-08-03,+38,749,В 2м/с,+33,749,В 2м/с
2010-08-04,+36,749,СВ 1м/с,+32,749,СВ 1м/с
2010-08-05,+35,752,СВ 1м/с,+29,752,СВ 1м/с
2010-08-06,+36,753,ЮВ 2м/с,+27,753,ЮВ 2м/с
2010-08-07,+37,752,З 1м/с,+26,752,З 1м/с
2010-08-08,+37,751,С 3м/с,+31,751,С 3м/с
2010-08-09,+34,752,СВ 3м/с,+29,752,СВ 3м/с
2010-08-10,+35,752,В 2м/с,+28,752,В 2м/с
2010-08-11,+34,752,ЮЗ 1м/с,+28,753,ЮЗ 1м/с
2010-08-12,+36,752,ЮВ 2м/с,+25,751,ЮВ 2м/с
2010-08-13,+36,751,ЮВ 2м/с,+30,752,ЮВ 2м/с
2010-08-14,+32,752,СВ 3м/с,+25,752,СВ 3м/с
2010-08-15,+27,752,С 3м/с,+23,750,С 3м/с
2010-08-16,+29,749,З 2м/с,+21,747,З 2м/с
2010-08-17,+29,746,СЗ 4м/с,+23,746,СЗ 4м/с
2010-08-18,+29,746,З 3м/с,+27,743,З 3м/с
2010-08-19,+31,739,ЮЗ 4м/с,+26,737,ЮЗ 4м/с
2010-08-20,+27,737,ЮЗ 5м/с,+20,735,ЮЗ 5м/с
2010-08-21,+12,742,С 4м/с,+13,743,С 4м/с
2010-08-22,+18,748,СЗ 3м/с,+14,748,СЗ 3м/с
2010-08-23,+25,743,З 3м/с,+20,742,З 3м/с
2010-08-24,+23,743,З 2м/с,+21,743,З 2м/с
2010-08-25,+27,743,З 3м/с,+26,743,З 3м/с
2010-08-26,+31,741,ЮЗ 1м/с,+21,740,ЮЗ 1м/с
2010-08-27,+23,743,ЮЗ 2м/с,+18,743,ЮЗ 2м/с
2010-08-28,+24,745,З 2м/с,+22,743,З 2м/с
2010-08-29,+32,742,ЮЗ 4м/с,+28,742,ЮЗ 4м/с
2010-08-30,+28,741,СЗ 3м/с,+17,745,СЗ 3м/с
2010-08-31,+20,750,СВ 1м/с,+11,753,СВ 1м/с
2010-09-01,+19,755,В 2м/с,+16,755,В 2м/с
2010-09-02,+29,752,В 6м/с,+23,752,В 6м/с
2010-09-03,+29,750,СВ 2м/с,+24,751,СВ 2м/с
2010-09-04,+23,753,З 2м/с,,,
2010-09-05,+19,753,С 1м/с,+17,752,С 1м/с
2010-09-06,+19,747,С 3м/с,+11,748,С 3м/с
2010-09-07,+13,751,СЗ 4м/с,+9,752,СЗ 4м/с
2010-09-08,+15,755,СЗ 1м/с,+11,754,СЗ 1м/с
2010-09-09,+17,754,СВ 3м/с,+14,754,СВ 3м/с
2010-09-10,+18,755,З 3м/с,+14,755,З 3м/с
2010-09-11,+17,758,СВ 2м/с,+12,757,СВ 2м/с
2010-09-12,+20,755,З 2м/с,+16,754,З 2м/с
2010-09-13,+15,753,В 2м/с,+13,754,В 2м/с
2010-09-14,+17,757,В 2м/с,+11,756,В 2м/с
2010-09-15,+19,757,З 2м/с,+13,755,З 2м/с
2010-09-16,+23,755,З 3м/с,+17,755,З 3м/с
2010-09-17,+25,753,ЮЗ 3м/с,+20,753,ЮЗ 3м/с
2010-09-18,+25,753,Ю 2м/с,+20,752,Ю 2м/с
2010-09-19,+25,752,ЮЗ 3м/с,+21,752,ЮЗ 3м/с
2010-09-20,+26,753,ЮЗ 4м/с,+21,752,ЮЗ 4м/с
2010-09-21,+26,752,З 2м/с,+17,753,З 2м/с
2010-09-22,+24,752,В 2м/с,+21,750,В 2м/с
2010-09-23,+16,747,ЮВ 2м/с,+14,746,ЮВ 2м/с
2010-09-24,+12,746,СЗ 2м/с,+11,747,СЗ 2м/с
2010-09-25,+13,745,С 3м/с,+11,752,С 3м/с
2010-09-26,+19,752,З 2м/с,+12,752,З 2м/с
2010-09-27,+20,750,З 3м/с,+14,750,З 3м/с
2010-09-28,+20,747,ЮЗ 2м/с,+18,745,ЮЗ 2м/с
2010-09-29,+21,740,З 3м/с,+14,740,З 3м/с
2010-09-30,+6,746,СЗ 2м/с,+5,747,СЗ 2м/с
2010-10-01,+7,746,СВ 3м/с,+5,747,СВ 3м/с
2010-10-02,+9,751,СВ 3м/с,+4,753,СВ 3м/с
2010-10-03,+6,758,З 2м/с,+2,760,З 2м/с
2010-10-04,+5,761,СЗ 2м/с,+3,761,СЗ 2м/с
2010-10-05,+3,761,СВ 1м/с,+3,761,СВ 1м/с
2010-10-06,+5,761,СВ 1м/с,+4,761,СВ 1м/с
2010-10-07,+11,760,З 2м/с,+8,760,З 2м/с
2010-10-08,+13,761,СЗ 1м/с,+6,761,СЗ 1м/с
2010-10-09,+14,757,В 1м/с,+5,755,В 1м/с
2010-10-10,+14,751,З 1м/с,+10,750,З 1м/с
2010-10-11,+14,745,Ю 3м/с,+11,744,Ю 3м/с
2010-10-12,+14,736,ЮВ 2м/с,+8,733,ЮВ 2м/с
2010-10-13,+4,732,ЮЗ 3м/с,+4,734,ЮЗ 3м/с
2010-10-14,+2,738,З 4м/с,+3,742,З 4м/с
2010-10-15,+6,745,ЮЗ 3м/с,+5,745,ЮЗ 3м/с
2010-10-16,+10,746,З 3м/с,+3,749,З 3м/с
2010-10-17,+5,753,СЗ 2м/с,+1,755,СЗ 2м/с
2010-10-18,+7,758,З 2м/с,+4,758,З 2м/с
2010-10-19,+5,761,СВ 1м/с,-1,763,СВ 1м/с
2010-10-20,+7,764,ЮВ 2м/с,+2,763,ЮВ 2м/с
2010-10-21,+1,754,В 4м/с,+3,752,В 4м/с
2010-10-22,+6,749,Ю 2м/с,+7,751,Ю 2м/с
2010-10-23,+8,756,ЮЗ 4м/с,+5,758,ЮЗ 4м/с
2010-10-24,+8,760,Ю 1м/с,+4,760,Ю 1м/с
2010-10-25,+8,758,В 1м/с,+5,758,В 1м/с
2010-10-26,+8,758,ЮЗ 2м/с,+5,757,ЮЗ 2м/с
2010-10-27,+8,752,Ю 2м/с,+7,749,Ю 2м/с
2010-10-28,+7,744,В 2м/с,+9,743,В 2м/с
2010-10-29,+3,744,З 3м/с,+1,746,З 3м/с
2010-10-30,+1,749,ЮЗ 2м/с,+1,751,ЮЗ 2м/с
2010-10-31,+1,755,СВ 2м/с,-1,757,СВ 2м/с
2010-11-01,0,755,С 2м/с,-3,754,С 2м/с
2010-11-02,+3,750,З 2м/с,+3,750,З 2м/с
2010-11-03,+6,752,З 1м/с,+6,754,З 1м/с
2010-11-04,+8,750,Ю 2м/с,+8,745,Ю 2м/с
2010-11-05,+8,739,З 3м/с,+6,737,З 3м/с
2010-11-06,+4,735,СЗ 2м/с,+4,738,СЗ 2м/с
2010-11-07,+2,739,СВ 1м/с,+1,743,СВ 1м/с
2010-11-08,+5,754,Ю 1м/с,+4,755,Ю 1м/с
2010-11-09,+3,755,ЮВ 2м/с,+4,755,ЮВ 2м/с
2010-11-10,+7,755,ЮВ 1м/с,+6,755,ЮВ 1м/с
2010-11-11,+8,750,Ю 2м/с,+6,749,Ю 2м/с
2010-11-12,+6,746,Ю 1м/с,+6,746,Ю 1м/с
2010-11-13,+8,740,ЮЗ 3м/с,+9,740,ЮЗ 3м/с
2010-11-14,+9,741,З 4м/с,+8,744,З 4м/с
2010-11-15,+7,754,З 2м/с,+7,755,З 2м/с
2010-11-16,+13,752,З 4м/с,+10,751,З 4м/с
2010-11-17,+9,754,Ш,+7,757,Ш
2010-11-18,+1,766,В 2м/с,-2,767,В 2м/с
2010-11-19,+1,765,В 2м/с,-2,763,В 2м/с
2010-11-20,+1,755,ЮЗ 2м/с,0,755,ЮЗ 2м/с
2010-11-21,-5,758,В 3м/с,-7,757,В 3м/с
2010-11-22,-4,752,Ю 2м/с,-2,750,Ю 2м/с
2010-11-23,0,749,Ш,0,749,Ш
2010-11-24,+2,749,Ю 2м/с,0,749,Ю 2м/с
2010-11-25,+8,743,ЮЗ 3м/с,+7,744,ЮЗ 3м/с
2010-11-26,+3,744,З 3м/с,+1,747,З 3м/с
2010-11-27,-1,746,В 3м/с,0,742,В 3м/с
2010-11-28,-1,740,СЗ 4м/с,-1,743,СЗ 4м/с
2010-11-29,-2,752,З 2м/с,-4,752,З 2м/с
2010-11-30,+1,728,В 4м/с,-2,726,В 4м/с
2010-12-01,-17,741,СЗ 4м/с,-21,746,СЗ 4м/с
2010-12-02,-19,756,СЗ 1м/с,-21,761,СЗ 1м/с
2010-12-03,-16,767,ЮВ 1м/с,-16,767,ЮВ 1м/с
2010-12-04,-7,761,ЮВ 4м/с,-4,758,ЮВ 4м/с
2010-12-05,-2,752,Ю 1м/с,0,750,Ю 1м/с
2010-12-06,0,745,ЮВ 2м/с,+1,745,ЮВ 2м/с
2010-12-07,-6,753,Ш,-5,754,Ш
2010-12-08,-4,753,Ю 2м/с,-4,752,Ю 2м/с
2010-12-09,-1,750,ЮВ 1м/с,-1,750,ЮВ 1м/с
2010-12-10,0,747,В 3м/с,0,746,В 3м/с
2010-12-11,+2,746,В 4м/с,0,748,В 4м/с
2010-12-12,-3,749,В 3м/с,-4,749,В 3м/с
2010-12-13,-3,746,В 4м/с,-3,745,В 4м/с
2010-12-14,-2,745,ЮВ 2м/с,-2,746,ЮВ 2м/с
2010-12-15,-3,749,ЮЗ 2м/с,-2,749,ЮЗ 2м/с
2010-12-16,-5,751,ЮЗ 5м/с,-5,751,ЮЗ 5м/с
2010-12-17,-4,751,Ш,-9,752,Ш
2010-12-18,-11,752,СВ 1м/с,-12,752,СВ 1м/с
2010-12-19,-11,755,В 2м/с,-13,755,В 2м/с
2010-12-20,-12,754,ЮВ 4м/с,-10,754,ЮВ 4м/с
2010-12-21,-5,756,В 3м/с,-3,752,В 3м/с
2010-12-22,-2,753,Ш,-4,753,Ш
2010-12-23,-5,751,Ш,-8,751,Ш
2010-12-24,-10,757,В 1м/с,-11,755,В 1м/с
2010-12-25,-2,750,Ш,+1,749,Ш
2010-12-26,+2,749,ЮВ 1м/с,0,751,ЮВ 1м/с
2010-12-27,+3,749,Ю 1м/с,+3,749,Ю 1м/с
2010-12-28,+1,752,Ш,-4,755,Ш
2010-12-29,-5,760,В 2м/с,-6,761,В 2м/с
2010-12-30,+1,761,В 5м/с,-1,760,В 5м/с
2010-12-31,-2,756,ЮВ 3м/с,-3,756,ЮВ 3м/с
